"Source:","/home/decadenza/Desktop/OldStyleDigitalClock/KiCadProject/OldStyleDigitalClock.kicad_sch"
"Date:","Sun 18 May 2025 16:17:42 BST"
"Tool:","Eeschema 6.0.11+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Availability","Check_prices","Description","MF","MP","Package","Price","SnapEDA_Link"
"5","1","C6","10 pF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
"6","1","C14","100 µF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","",""
"7","9","D1, D2, D3, D4, D5, D6, D7, D9, D10","BAT85","Diode:BAT85","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/BAT85.pdf","","","","","","","",""
"8","1","D8","4 V Solar cell","Device:D_Photo","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","","","","","","","",""
"9","2","R1, R19","220 Ω","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"10","28","R2, R4, R5, R6, R7, R8, R9, R11, R12, R13, R14, R15, R16, R17, R20, R21, R22, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34","4.7 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"11","4","R3, R18, R23, R35","100 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"12","1","R10","10 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"13","1","R_{C}1","10 MΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"14","1","R_{S}1","300 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"15","1","SW1","Set minutes","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~","","","","","","","",""
"16","1","SW2","Set hours","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~","","","","","","","",""
"17","4","U1, U4, U10, U12","D168K","Generic7SegmentLedCC:D168K","Display_7Segment:D1X8K","https://ia800903.us.archive.org/24/items/CTKD1x8K/Cromatek%20D168K.pdf","","","","","","","",""
"18","4","U2, U5, U11, U13","CD4026BE","CD4026BE:CD4026BE","CD4026BE:DIP794W45P254L1969H508Q16","","","","","","","","",""
"19","1","U3","CD4060BE","CD4060BE:CD4060BE","CD4060BE:DIP794W45P254L1969H508Q16","","In Stock","https://www.snapeda.com/parts/CD4060BE/Texas+Instruments/view-part/?ref=eda","                            CMOS 14-Stage Ripple-Carry Binary Counter/Divider and Oscillator","Texas Instruments","CD4060BE","PDIP-16 Texas Instruments","None","https://www.snapeda.com/parts/CD4060BE/Texas+Instruments/view-part/?ref=snap"
"20","3","U6, U7, U8","CD4017BE","CD4017BE:CD4017BE","CD4017BE:DIP794W45P254L1969H508Q16","","","","","","","","",""
"21","1","U9","4073","4xxx:4073","CD4073BE:DIP794W45P254L1969H508Q14","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4073bms-81bms-82bms.pdf","","","","","","","",""
"22","1","Y1","HC49 XTAL (32768 Hz)","Device:Crystal","Crystal:Crystal_AT310_D3.0mm_L10.0mm_Horizontal","~","","","","","","","",""
